"SurveyResponseID","AnswerNumber","AirlineUsed","AirlineRating"
3557329,121,"Japan Airlines","8"
3557393,115,"China Southern","7"
3557361,157,"Cathay Pacific","8"
3557279,128,"Air New Zealand","9"
3557283,114,"Air New Zealand","6"
3557289,158,"Another airline",NA
3557291,103,"Another airline",NA
3557313,166,"Another airline",NA
3557293,148,"Emirates","Excellent  10"
3557461,161,"Another airline",NA
3557325,115,"Emirates","6"
3557385,171,"Emirates","9"
3557601,123,"Cathay Pacific","Excellent  10"
3557505,164,"Another airline",NA
3557305,120,"Emirates","9"
3557609,119,"Virgin/Virgin Blue/Pacific Blue","8"
3557489,155,"Another airline",NA
3557497,141,"JetStar","5"
3557617,169,"Another airline",NA
3557573,131,"Air New Zealand","Excellent  10"
3557577,239,"Another airline",NA
3557613,152,"Another airline",NA
3557413,100,"Emirates","Excellent  10"
3557621,229,"Air New Zealand","Excellent  10"
3557681,127,"Air New Zealand","6"
3557657,155,"Another airline",NA
3557401,136,"Emirates","7"
3557713,175,"Emirates","Excellent  10"
3557633,132,"Air New Zealand","8"
3557677,172,"Another airline",NA
3557645,136,"Emirates","9"
3557693,137,"Emirates","Not Sure"
3557513,158,"Emirates","Excellent  10"
3557737,160,"Cathay Pacific","4"
3557685,134,"Air New Zealand","Excellent  10"
3557717,176,"Another airline",NA
3557529,147,"Emirates","8"
3557861,103,"Emirates","Excellent  10"
3557649,154,"Emirates","9"
3557793,120,"Emirates","Excellent  10"
3557824,136,"Emirates","9"
3557838,108,"Emirates","9"
3557753,108,"Air New Zealand","Excellent  10"
3557785,125,"JetStar","9"
3557806,146,"Air New Zealand","Excellent  10"
3557865,151,"China Southern","Excellent  10"
3557822,109,"China Southern","5"
3557757,109,"JetStar","7"
3557933,172,"China Southern","7"
3557953,170,"Another airline",NA
3557869,195,"JetStar","8"
3557889,227,"China Southern","7"
3557897,196,"Another airline",NA
3558111,155,"Cathay Pacific","9"
3557665,153,"Qantas","Excellent  10"
3557949,118,"Qantas","5"
3557929,170,"Air New Zealand","Excellent  10"
3557957,155,"Air New Zealand","6"
3557820,116,"Emirates","8"
3557816,108,"Emirates","Excellent  10"
3558033,117,"Emirates","9"
3558099,155,"Emirates","7"
3558069,110,"Emirates","Excellent  10"
3558073,212,"Emirates","9"
3558005,147,"China Southern","9"
3557965,117,"Air New Zealand","Excellent  10"
3558017,123,"Air New Zealand","7"
3558119,194,"Another airline",NA
3557493,124,"Qantas","7"
3558143,105,"Qantas","Excellent  10"
3557909,146,"JetStar","4"
3558053,131,"Air New Zealand",NA
3558115,151,"Air New Zealand","Excellent  10"
3558223,124,"Singapore Airlines","Excellent  10"
3557997,144,"Emirates","7"
3558045,122,"Emirates","Excellent  10"
3558187,109,"American Airlines","9"
3558231,133,"American Airlines","4"
3558175,150,"Another airline",NA
3558211,121,"Air New Zealand",NA
3558247,175,"Another airline",NA
3558271,212,"China Southern","5"
3558131,187,"Emirates","Excellent  10"
3558171,124,"Emirates","9"
3558123,153,"China Southern","6"
3558227,148,"American Airlines","Excellent  10"
3558219,108,"Air New Zealand","6"
3558359,167,"Emirates","5"
3558391,167,"American Airlines","9"
3558447,108,"Air New Zealand","Excellent  10"
3558275,163,"Air Asia X","5"
3558351,139,"Another airline",NA
3558287,128,"Another airline",NA
3558375,165,"Air New Zealand","9"
3558399,116,"Air New Zealand","Excellent  10"
3558547,200,"Singapore Airlines","8"
3558379,106,"Air New Zealand","Excellent  10"
3557810,143,"Korean Air","Excellent  10"
3558507,176,"Emirates","8"
3558555,135,"Emirates","Excellent  10"
3558483,149,"Another airline",NA
3558503,145,"Air New Zealand","Excellent  10"
3558535,167,"American Airlines","Excellent  10"
