"SurveyResponseID","AnswerNumber","CycleOwnership"
3579954,64,"Take your own bike to NZ"
3582861,65,"Take your own bike to NZ"
3625796,52,"Take your own bike to NZ"
3625818,60,"Take your own bike to NZ"
3625844,59,"Take your own bike to NZ"
3625923,101,"Take your own bike to NZ"
3625936,87,"Take your own bike to NZ"
3625981,63,"Take your own bike to NZ"
3626004,108,"Take your own bike to NZ"
3626028,89,"Take your own bike to NZ"
3626007,111,"Take your own bike to NZ"
3626273,56,"Take your own bike to NZ"
3626305,64,"Take your own bike to NZ"
3626409,104,"Take your own bike to NZ"
3626463,88,"Take your own bike to NZ"
3626516,62,"Take your own bike to NZ"
3626549,169,"Take your own bike to NZ"
3627262,67,"Take your own bike to NZ"
3627480,128,"Take your own bike to NZ"
3628850,65,"Take your own bike to NZ"
3629112,82,"Take your own bike to NZ"
3629610,54,"Take your own bike to NZ"
3629643,81,"Take your own bike to NZ"
3629806,63,"Take your own bike to NZ"
3630172,78,"Take your own bike to NZ"
3630295,98,"Take your own bike to NZ"
3630533,64,"Take your own bike to NZ"
3557575,76,"Take your own bike to NZ"
3557576,76,"Take your own bike to NZ"
3557570,81,"Take your own bike to NZ"
3558443,63,"Take your own bike to NZ"
3558556,80,"Take your own bike to NZ"
3558979,75,"Take your own bike to NZ"
3558992,83,"Take your own bike to NZ"
3559065,65,"Take your own bike to NZ"
3559278,94,"Take your own bike to NZ"
3577826,59,"Take your own bike to NZ"
3578659,70,"Take your own bike to NZ"
3578665,64,"Take your own bike to NZ"
3578689,81,"Take your own bike to NZ"
3578706,82,"Take your own bike to NZ"
3578719,65,"Take your own bike to NZ"
3578759,65,"Take your own bike to NZ"
3578789,74,"Take your own bike to NZ"
3578733,64,"Take your own bike to NZ"
3578815,59,"Take your own bike to NZ"
3578870,66,"Take your own bike to NZ"
3578910,57,"Take your own bike to NZ"
3578931,77,"Take your own bike to NZ"
3578943,63,"Take your own bike to NZ"
3578975,67,"Take your own bike to NZ"
3579023,69,"Take your own bike to NZ"
3578962,61,"Take your own bike to NZ"
3579113,77,"Take your own bike to NZ"
3579122,67,"Take your own bike to NZ"
3579123,69,"Take your own bike to NZ"
3579182,74,"Take your own bike to NZ"
3579035,72,"Take your own bike to NZ"
3579058,68,"Take your own bike to NZ"
3579214,78,"Take your own bike to NZ"
3579219,72,"Take your own bike to NZ"
3579228,62,"Take your own bike to NZ"
3579288,68,"Take your own bike to NZ"
3579290,57,"Take your own bike to NZ"
3579318,65,"Take your own bike to NZ"
3579330,72,"Take your own bike to NZ"
3579336,75,"Take your own bike to NZ"
3579338,70,"Take your own bike to NZ"
3579343,71,"Take your own bike to NZ"
3579380,74,"Take your own bike to NZ"
3579388,66,"Take your own bike to NZ"
3579403,70,"Take your own bike to NZ"
3579401,77,"Take your own bike to NZ"
3579426,57,"Take your own bike to NZ"
3579444,84,"Take your own bike to NZ"
3579445,84,"Take your own bike to NZ"
3579454,70,"Take your own bike to NZ"
3579480,72,"Take your own bike to NZ"
3579427,73,"Take your own bike to NZ"
3579506,80,"Take your own bike to NZ"
3579517,73,"Take your own bike to NZ"
3579538,62,"Take your own bike to NZ"
3579554,85,"Take your own bike to NZ"
3579563,73,"Take your own bike to NZ"
3579579,78,"Take your own bike to NZ"
3579588,79,"Take your own bike to NZ"
3579592,80,"Take your own bike to NZ"
3579600,77,"Take your own bike to NZ"
3580367,57,"Take your own bike to NZ"
3580326,119,"Take your own bike to NZ"
3580515,56,"Take your own bike to NZ"
3580521,55,"Take your own bike to NZ"
3580557,78,"Take your own bike to NZ"
3580627,100,"Take your own bike to NZ"
3580816,56,"Take your own bike to NZ"
3581142,69,"Take your own bike to NZ"
3581256,56,"Take your own bike to NZ"
3581430,64,"Take your own bike to NZ"
3581431,59,"Take your own bike to NZ"
3581654,73,"Take your own bike to NZ"
3581494,66,"Take your own bike to NZ"
3581906,69,"Take your own bike to NZ"
3582112,89,"Take your own bike to NZ"
3582214,97,"Take your own bike to NZ"
3582263,53,"Take your own bike to NZ"
3582404,72,"Take your own bike to NZ"
3582381,68,"Take your own bike to NZ"
3582387,78,"Take your own bike to NZ"
3582467,53,"Take your own bike to NZ"
3582487,63,"Take your own bike to NZ"
3582638,94,"Take your own bike to NZ"
3582652,87,"Take your own bike to NZ"
3582743,81,"Take your own bike to NZ"
3583161,67,"Take your own bike to NZ"
3583266,69,"Take your own bike to NZ"
3583374,62,"Take your own bike to NZ"
3583602,104,"Take your own bike to NZ"
3583746,87,"Take your own bike to NZ"
3583802,61,"Take your own bike to NZ"
3583850,88,"Take your own bike to NZ"
3583982,91,"Take your own bike to NZ"
3584294,72,"Take your own bike to NZ"
3584314,57,"Take your own bike to NZ"
3584446,108,"Take your own bike to NZ"
3584462,79,"Take your own bike to NZ"
3584517,63,"Take your own bike to NZ"
