"SurveyResponseID","AnswerNumber","InformationSourceUsed"
3577555,118,"i-SITE Visitor Information Centre(s)"
3577568,133,"i-SITE Visitor Information Centre(s)"
3579644,116,"i-SITE Visitor Information Centre(s)"
3579661,120,"i-SITE Visitor Information Centre(s)"
3579669,113,"i-SITE Visitor Information Centre(s)"
3579677,126,"i-SITE Visitor Information Centre(s)"
3579688,106,"i-SITE Visitor Information Centre(s)"
3579698,112,"i-SITE Visitor Information Centre(s)"
3579732,131,"i-SITE Visitor Information Centre(s)"
3579741,130,"i-SITE Visitor Information Centre(s)"
3579753,135,"i-SITE Visitor Information Centre(s)"
3579755,115,"i-SITE Visitor Information Centre(s)"
3579759,161,"i-SITE Visitor Information Centre(s)"
3579762,125,"i-SITE Visitor Information Centre(s)"
3579767,138,"i-SITE Visitor Information Centre(s)"
3579775,137,"i-SITE Visitor Information Centre(s)"
3579792,149,"i-SITE Visitor Information Centre(s)"
3579816,155,"i-SITE Visitor Information Centre(s)"
3579824,117,"i-SITE Visitor Information Centre(s)"
3579829,148,"i-SITE Visitor Information Centre(s)"
3579846,137,"i-SITE Visitor Information Centre(s)"
3579848,143,"i-SITE Visitor Information Centre(s)"
3579869,144,"i-SITE Visitor Information Centre(s)"
3579872,130,"i-SITE Visitor Information Centre(s)"
3579873,122,"i-SITE Visitor Information Centre(s)"
3579885,133,"i-SITE Visitor Information Centre(s)"
3579926,169,"i-SITE Visitor Information Centre(s)"
3579931,165,"i-SITE Visitor Information Centre(s)"
3579943,149,"i-SITE Visitor Information Centre(s)"
3579954,121,"i-SITE Visitor Information Centre(s)"
3579973,131,"i-SITE Visitor Information Centre(s)"
3579981,116,"i-SITE Visitor Information Centre(s)"
3579988,141,"i-SITE Visitor Information Centre(s)"
3580023,119,"i-SITE Visitor Information Centre(s)"
3580029,134,"i-SITE Visitor Information Centre(s)"
3580031,131,"i-SITE Visitor Information Centre(s)"
3580035,100,"i-SITE Visitor Information Centre(s)"
3580060,131,"i-SITE Visitor Information Centre(s)"
3580062,153,"i-SITE Visitor Information Centre(s)"
3580068,120,"i-SITE Visitor Information Centre(s)"
3580070,165,"i-SITE Visitor Information Centre(s)"
3580084,155,"i-SITE Visitor Information Centre(s)"
3580086,122,"i-SITE Visitor Information Centre(s)"
3580098,140,"i-SITE Visitor Information Centre(s)"
3580087,130,"i-SITE Visitor Information Centre(s)"
3580103,179,"i-SITE Visitor Information Centre(s)"
3580116,117,"i-SITE Visitor Information Centre(s)"
3580117,128,"i-SITE Visitor Information Centre(s)"
3580146,136,"i-SITE Visitor Information Centre(s)"
3580147,131,"i-SITE Visitor Information Centre(s)"
3582780,119,"i-SITE Visitor Information Centre(s)"
3582781,139,"i-SITE Visitor Information Centre(s)"
3582783,127,"i-SITE Visitor Information Centre(s)"
3582795,146,"i-SITE Visitor Information Centre(s)"
3582797,146,"i-SITE Visitor Information Centre(s)"
3582805,124,"i-SITE Visitor Information Centre(s)"
3582806,117,"i-SITE Visitor Information Centre(s)"
3582810,137,"i-SITE Visitor Information Centre(s)"
3582855,132,"i-SITE Visitor Information Centre(s)"
3582856,169,"i-SITE Visitor Information Centre(s)"
3582858,151,"i-SITE Visitor Information Centre(s)"
3582859,126,"i-SITE Visitor Information Centre(s)"
3582870,104,"i-SITE Visitor Information Centre(s)"
3582873,111,"i-SITE Visitor Information Centre(s)"
3582885,100,"i-SITE Visitor Information Centre(s)"
3582893,149,"i-SITE Visitor Information Centre(s)"
3582894,137,"i-SITE Visitor Information Centre(s)"
3582897,121,"i-SITE Visitor Information Centre(s)"
3582899,109,"i-SITE Visitor Information Centre(s)"
3582903,125,"i-SITE Visitor Information Centre(s)"
3582904,123,"i-SITE Visitor Information Centre(s)"
3582917,149,"i-SITE Visitor Information Centre(s)"
3582918,132,"i-SITE Visitor Information Centre(s)"
3582935,121,"i-SITE Visitor Information Centre(s)"
3582949,103,"i-SITE Visitor Information Centre(s)"
3582951,143,"i-SITE Visitor Information Centre(s)"
3582973,139,"i-SITE Visitor Information Centre(s)"
3582986,128,"i-SITE Visitor Information Centre(s)"
3583009,158,"i-SITE Visitor Information Centre(s)"
3583012,111,"i-SITE Visitor Information Centre(s)"
3583013,130,"i-SITE Visitor Information Centre(s)"
3583021,164,"i-SITE Visitor Information Centre(s)"
3583041,127,"i-SITE Visitor Information Centre(s)"
3625779,190,"i-SITE Visitor Information Centre(s)"
3625781,157,"i-SITE Visitor Information Centre(s)"
3625786,141,"i-SITE Visitor Information Centre(s)"
3625790,130,"i-SITE Visitor Information Centre(s)"
3625792,159,"i-SITE Visitor Information Centre(s)"
3625793,122,"i-SITE Visitor Information Centre(s)"
3625797,144,"i-SITE Visitor Information Centre(s)"
3625808,149,"i-SITE Visitor Information Centre(s)"
3625818,109,"i-SITE Visitor Information Centre(s)"
3625829,136,"i-SITE Visitor Information Centre(s)"
3625830,133,"i-SITE Visitor Information Centre(s)"
3625836,130,"i-SITE Visitor Information Centre(s)"
3625839,120,"i-SITE Visitor Information Centre(s)"
3625853,114,"i-SITE Visitor Information Centre(s)"
3625863,134,"i-SITE Visitor Information Centre(s)"
3625872,137,"i-SITE Visitor Information Centre(s)"
3625904,147,"i-SITE Visitor Information Centre(s)"
3625905,107,"i-SITE Visitor Information Centre(s)"
3625920,110,"i-SITE Visitor Information Centre(s)"
3625965,177,"i-SITE Visitor Information Centre(s)"
3625968,125,"i-SITE Visitor Information Centre(s)"
3625974,133,"i-SITE Visitor Information Centre(s)"
3626003,189,"i-SITE Visitor Information Centre(s)"
3626006,208,"i-SITE Visitor Information Centre(s)"
3626005,116,"i-SITE Visitor Information Centre(s)"
3626020,106,"i-SITE Visitor Information Centre(s)"
3626028,151,"i-SITE Visitor Information Centre(s)"
3626054,144,"i-SITE Visitor Information Centre(s)"
3626069,138,"i-SITE Visitor Information Centre(s)"
3626071,133,"i-SITE Visitor Information Centre(s)"
3626093,164,"i-SITE Visitor Information Centre(s)"
3626095,163,"i-SITE Visitor Information Centre(s)"
3626109,139,"i-SITE Visitor Information Centre(s)"
3626112,165,"i-SITE Visitor Information Centre(s)"
3626113,147,"i-SITE Visitor Information Centre(s)"
3626114,131,"i-SITE Visitor Information Centre(s)"
3626135,142,"i-SITE Visitor Information Centre(s)"
3626141,159,"i-SITE Visitor Information Centre(s)"
3626152,169,"i-SITE Visitor Information Centre(s)"
3626157,125,"i-SITE Visitor Information Centre(s)"
3626161,124,"i-SITE Visitor Information Centre(s)"
3626186,161,"i-SITE Visitor Information Centre(s)"
3626191,124,"i-SITE Visitor Information Centre(s)"
3626214,189,"i-SITE Visitor Information Centre(s)"
3626217,105,"i-SITE Visitor Information Centre(s)"
3626242,155,"i-SITE Visitor Information Centre(s)"
3626268,128,"i-SITE Visitor Information Centre(s)"
3626271,133,"i-SITE Visitor Information Centre(s)"
3626313,103,"i-SITE Visitor Information Centre(s)"
3626315,159,"i-SITE Visitor Information Centre(s)"
3626343,153,"i-SITE Visitor Information Centre(s)"
3626375,165,"i-SITE Visitor Information Centre(s)"
3626389,162,"i-SITE Visitor Information Centre(s)"
3626419,120,"i-SITE Visitor Information Centre(s)"
3626425,121,"i-SITE Visitor Information Centre(s)"
3626427,135,"i-SITE Visitor Information Centre(s)"
3626437,124,"i-SITE Visitor Information Centre(s)"
3626440,137,"i-SITE Visitor Information Centre(s)"
3626453,129,"i-SITE Visitor Information Centre(s)"
3626459,152,"i-SITE Visitor Information Centre(s)"
3626489,178,"i-SITE Visitor Information Centre(s)"
3626490,146,"i-SITE Visitor Information Centre(s)"
3626504,154,"i-SITE Visitor Information Centre(s)"
3626508,127,"i-SITE Visitor Information Centre(s)"
3626511,147,"i-SITE Visitor Information Centre(s)"
3626521,110,"i-SITE Visitor Information Centre(s)"
3626531,130,"i-SITE Visitor Information Centre(s)"
3626537,147,"i-SITE Visitor Information Centre(s)"
3626538,177,"i-SITE Visitor Information Centre(s)"
