"SurveyResponseID","AnswerNumber","WebsiteForPlanning","WebsiteForBooking","UsefulnessRating"
3557276,122,"www.tripadvisor.com","www.tripadvisor.com","6"
3557276,122,"www.tripadvisor.com","www.tripadvisor.com","8"
3557276,124,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","7"
3557276,123,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557276,125,"Another source","Another source","8"
3557276,125,"Another source","Another source","Another source"
3557283,96,"www.tripadvisor.com",NA,"5"
3557283,97,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","5"
3557283,96,"100% Pure New Zealand www.newzealand.com",NA,"5"
3557310,95,"Friends, family and colleagues",NA,"9"
3557310,95,"Airline websites","Airline websites","7"
3557310,95,"Airline websites","Airline websites","9"
3557310,96,"www.tripadvisor.com",NA,"7"
3557324,134,"Friends, family and colleagues",NA,"Very Useful10"
3557324,136,"Travel guides/books about New Zealand",NA,"8"
3557324,134,"Expedia",NA,"Very Useful10"
3557324,135,"Online travel blogs",NA,"8"
3557324,135,"Online travel blogs",NA,"7"
3557326,119,"Friends, family and colleagues",NA,"8"
3557326,120,"www.tripadvisor.com",NA,"Not Sure"
3557326,120,"www.tripadvisor.com",NA,"6"
3557326,121,"Facebook",NA,"Not Sure"
3557335,96,"Other publications e.g. magazines",NA,"8"
3557335,94,"www.tripadvisor.com",NA,"Not Sure"
3557335,95,"Expedia",NA,"8"
3557335,95,"Expedia",NA,"3"
3557335,96,"Online travel blogs",NA,"8"
3557358,93,"Airline websites","Airline websites","7"
3557360,117,"Online travel blogs",NA,"6"
3557360,118,"Another source",NA,"5"
3557360,118,"Another source",NA,"Another source"
3557376,106,"Another source","Another source","Another source"
3557376,104,"Friends, family and colleagues","Friends, family and colleagues","8"
3557376,105,"Airline websites","Airline websites","8"
3557378,132,"Friends, family and colleagues",NA,"Very Useful10"
3557378,133,"Online travel blogs",NA,"Very Useful10"
3557378,133,"Online travel blogs",NA,"Very Useful10"
3557383,136,"Travel guides/books about New Zealand",NA,"6"
3557383,134,"www.tripadvisor.com",NA,"8"
3557383,135,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557383,135,"100% Pure New Zealand www.newzealand.com",NA,"6"
3557385,136,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3557385,136,"Travel guides/books about New Zealand",NA,"8"
3557385,134,"www.tripadvisor.com",NA,"9"
3557385,135,"100% Pure New Zealand www.newzealand.com",NA,"7"
3557385,135,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557392,123,"www.tripadvisor.com",NA,"9"
3557392,125,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3557392,122,"Friends, family and colleagues",NA,"9"
3557392,122,"Airline websites","Airline websites","9"
3557392,122,"Airline websites","Airline websites","9"
3557392,124,"www.lonleyplanet.com",NA,"9"
3557392,124,"www.lonleyplanet.com",NA,"9"
3557392,126,"Online travel blogs",NA,"9"
3557392,126,"Online travel blogs",NA,"9"
3557392,125,"100% Pure New Zealand www.newzealand.com",NA,"9"
3557278,101,"Friends, family and colleagues",NA,"7"
3557278,103,"Facebook",NA,"7"
3557278,102,"100% Pure New Zealand www.newzealand.com",NA,"7"
3557278,102,"100% Pure New Zealand www.newzealand.com",NA,"Very Useful10"
3557394,101,"Wechat",NA,"2"
3557401,104,"Friends, family and colleagues",NA,"9"
3557279,101,"Online travel blogs","Online travel blogs","8"
3557279,99,"Travel agents in your home country via the internet",NA,"6"
3557279,100,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3557279,100,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3557279,102,"Travel guides/books about New Zealand","Travel guides/books about New Zealand","5"
3557401,105,"Google+","Google+","Very Useful10"
3557428,143,"Another source",NA,"Another source"
3557280,95,"Airline websites","Airline websites","7"
3557428,142,"Travel guides/books about New Zealand",NA,"Very Useful10"
3557428,142,"Travel guides/books about New Zealand",NA,"6"
3557280,98,"Expedia","Expedia","8"
3557280,99,"Online travel blogs",NA,"Very Useful10"
3557280,97,"Facebook",NA,"5"
3557280,97,"Facebook",NA,"7"
3557280,96,"100% Pure New Zealand www.newzealand.com",NA,"Very Useful10"
3557280,96,"www.tripadvisor.com",NA,"Very Useful10"
3557435,113,"Friends, family and colleagues",NA,"9"
3557435,114,"Another source",NA,"6"
3557435,114,"Another source",NA,"Another source"
3557451,126,"By visiting an airline outlet","By visiting an airline outlet","8"
3557451,126,"By visiting an airline outlet","By visiting an airline outlet","8"
3557451,128,"Travel guides/books about New Zealand",NA,"9"
3557451,128,"Travel guides/books about New Zealand",NA,"8"
3557451,125,"Friends, family and colleagues",NA,"Very Useful10"
3557451,125,"Airline websites","Airline websites","Very Useful10"
3557451,125,"Airline websites","Airline websites","8"
3557451,127,"Expedia",NA,"8"
3557295,118,"www.tripadvisor.com",NA,"9"
3557503,121,"Friends, family and colleagues",NA,"Very Useful10"
3557503,123,"Google+",NA,"8"
3557284,134,"Friends, family and colleagues",NA,"Very Useful10"
3557284,134,"Airline websites","Airline websites","Very Useful10"
3557284,134,"Airline websites","Airline websites","Very Useful10"
3557295,123,"Websites of individual i-SITE centres",NA,"7"
3557503,122,"Instagram",NA,"8"
3557284,137,"www.tripadvisor.com",NA,"Not at all Useful1"
3557503,122,"Instagram",NA,"Very Useful10"
3557295,123,"Websites of individual i-SITE centres",NA,"8"
3557284,135,"By phoning airlines",NA,"Very Useful10"
3557503,121,"100% Pure New Zealand www.newzealand.com",NA,"Very Useful10"
3557284,136,"By visiting an airline outlet",NA,"Not Sure"
3557503,124,"Travel guides/books about New Zealand",NA,"8"
3557295,124,"An i-SITE consultant or staff member by email or phone",NA,"9"
3557503,124,"Travel guides/books about New Zealand",NA,"Very Useful10"
3557284,136,"By visiting an airline outlet",NA,"Very Useful10"
3557503,123,"Pinterest",NA,"8"
3557284,137,"Travel agents in your home country over the phone",NA,"Not at all Useful1"
3557295,119,"www.wotif.com",NA,"7"
3557295,119,"www.wotif.com",NA,"8"
3557284,139,"Travel guides/books about New Zealand",NA,"Very Useful10"
3557526,107,"Google+","Google+","8"
3557295,128,"Essential New Zealand mobile app",NA,"8"
3557526,107,"Google+","Google+","8"
3557526,108,"Another source","Another source","Another source"
3557284,138,"Google+",NA,"Very Useful10"
3557526,108,"Another source","Another source","8"
3557284,138,"Google+",NA,"Very Useful10"
3557295,132,"Another source",NA,"8"
3557526,107,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3557286,110,"None of these","None of these","None of these"
3557295,124,"Instagram",NA,"9"
3557291,91,"Friends, family and colleagues","Friends, family and colleagues","Very Useful10"
3557535,110,"Friends, family and colleagues",NA,"Very Useful10"
3557535,110,"Airline websites","Airline websites","9"
3557535,110,"Airline websites","Airline websites","Very Useful10"
3557295,127,"Wechat",NA,"7"
3557544,103,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3557293,120,"www.tripadvisor.com",NA,"Very Useful10"
3557295,127,"Wechat",NA,"9"
3557293,120,"www.tripadvisor.com",NA,"8"
3557544,102,"Airline websites","Airline websites","9"
3557544,103,"Expedia","Expedia","9"
3557293,119,"Friends, family and colleagues",NA,"Very Useful10"
3557293,121,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3557295,125,"Pinterest",NA,"8"
3557295,125,"Pinterest",NA,"8"
3557293,121,"Travel guides/books about New Zealand",NA,"8"
3557544,103,"Expedia","Expedia","8"
3557295,132,"Other publications e.g. magazines",NA,"8"
3557325,99,"Friends, family and colleagues","Friends, family and colleagues","9"
3557325,100,"Airline websites","Airline websites","9"
3557551,148,"Friends, family and colleagues",NA,"8"
3557551,149,"www.tripadvisor.com",NA,"8"
3557298,120,"www.tripadvisor.com",NA,"9"
3557336,134,"Friends, family and colleagues",NA,"Very Useful10"
3557551,149,"www.tripadvisor.com",NA,"8"
3557298,118,"Friends, family and colleagues","Friends, family and colleagues","7"
3557336,134,"www.tripadvisor.com",NA,"Very Useful10"
3557336,135,"www.lonleyplanet.com",NA,"Very Useful10"
3557336,135,"www.lonleyplanet.com",NA,"Very Useful10"
3557298,119,"Airline websites","Airline websites","5"
3557553,162,"Friends, family and colleagues",NA,"9"
3557336,136,"Instagram",NA,"Very Useful10"
3557298,120,"www.lonleyplanet.com","www.lonleyplanet.com","9"
3557553,166,"Online travel blogs",NA,"9"
3557298,120,"www.lonleyplanet.com","www.lonleyplanet.com","6"
3557553,166,"Online travel blogs",NA,"7"
3557336,137,"Expedia","Expedia","Very Useful10"
3557298,121,"Online travel blogs","Online travel blogs","9"
3557336,136,"Pinterest",NA,"Very Useful10"
3557298,121,"Online travel blogs","Online travel blogs","6"
3557553,162,"www.tripadvisor.com",NA,"9"
3557352,106,"Travel agents in your home country over the phone","Travel agents in your home country over the phone","Very Useful10"
3557313,144,"www.tripadvisor.com",NA,"8"
3557361,120,"By visiting an airline outlet","By visiting an airline outlet","Not Sure"
3557553,165,"Essential New Zealand mobile app",NA,"9"
3557313,146,"Google+",NA,"Very Useful10"
3557553,167,"Travel guides/books about New Zealand",NA,"2"
3557361,121,"www.tripadvisor.com",NA,"7"
3557313,147,"Essential New Zealand mobile app",NA,"Very Useful10"
3557361,122,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557313,147,"Essential New Zealand mobile app",NA,"Very Useful10"
3557361,122,"100% Pure New Zealand www.newzealand.com",NA,"6"
3557313,145,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557313,145,"100% Pure New Zealand www.newzealand.com",NA,"Very Useful10"
