"SurveyResponseID","AnswerNumber","HobbitExpType"
3557276,116,"The scenery"
3557276,117,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557276,118,"Wanted to see where the film was made"
3557276,119,"I wanted to visit Hobbiton"
3557279,94,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557279,95,"I wanted to visit Hobbiton"
3557279,96,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3557289,127,"The scenery"
3557289,128,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557289,129,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3557298,115,"I wanted to visit Hobbiton"
3557368,91,"Wanted to see where the film was made"
3557383,127,"The scenery"
3557383,128,"Wanted to see if the scenery was like it was in the film"
3557383,129,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557383,130,"Wanted to see where the film was made"
3557383,131,"I wanted to visit Hobbiton"
3557432,135,"The scenery"
3557432,136,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557432,137,"I wanted to visit Hobbiton"
3557452,115,"The scenery"
3557452,116,"Wanted to see where the film was made"
3557461,128,"The scenery"
3557461,129,"Wanted to see if the scenery was like it was in the film"
3557461,130,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3557488,140,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3557518,104,"Not sure"
3557549,151,"The scenery"
3557549,152,"Wanted to see if the scenery was like it was in the film"
3557549,153,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557549,154,"I wanted to visit Hobbiton"
3557550,117,"The scenery"
3557550,118,"Wanted to see if the scenery was like it was in the film"
3557550,119,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557551,145,"The scenery"
3557553,158,"The scenery"
3557553,159,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3557560,97,"The scenery"
3557560,98,"I wanted to visit Hobbiton"
3557577,182,"Wanted to see if the scenery was like it was in the film"
3557577,183,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557577,184,"I wanted to visit Hobbiton"
3557610,138,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3557631,141,"The scenery"
3557631,142,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557631,143,"Wanted to see where the film was made"
3557631,144,"I wanted to visit Hobbiton"
3557633,103,"The scenery"
3557640,183,"The scenery"
3557640,184,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557657,123,"The scenery"
3557657,124,"I wanted to visit Hobbiton"
3557680,149,"I wanted to visit Hobbiton"
3557687,138,"The scenery"
3557687,139,"Wanted to see if the scenery was like it was in the film"
3557687,140,"Wanted to see where the film was made"
3557717,121,"The scenery"
3557717,122,"Wanted to see if the scenery was like it was in the film"
3557717,123,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557717,124,"Wanted to see where the film was made"
3557717,125,"I wanted to visit Hobbiton"
3557722,126,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557722,127,"I wanted to visit Hobbiton"
3557742,133,"The scenery"
3557743,166,"The scenery"
3557743,167,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557743,168,"I wanted to visit Hobbiton"
3557743,169,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3557792,99,"The scenery"
3557823,153,"The scenery"
3557846,170,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557865,121,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557869,144,"Wanted to see if the scenery was like it was in the film"
3557869,145,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557869,146,"I wanted to visit Hobbiton"
3557869,147,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3557872,105,"The scenery"
3557872,106,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557872,107,"Wanted to see where the film was made"
3557872,108,"I wanted to visit Hobbiton"
3557872,109,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3557872,110,"Something else"
3557883,125,"The scenery"
3557883,126,"Wanted to see if the scenery was like it was in the film"
3557883,127,"I wanted to visit Hobbiton"
3557883,128,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3557889,171,"The scenery"
3557889,172,"Wanted to see if the scenery was like it was in the film"
3557889,173,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557889,174,"Wanted to see where the film was made"
3557889,175,"I wanted to visit Hobbiton"
3557889,176,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3557898,125,"The scenery"
3557898,126,"Wanted to see if the scenery was like it was in the film"
3557909,118,"Wanted to see if the scenery was like it was in the film"
3557909,119,"Wanted to see where the film was made"
3557929,128,"Wanted to see if the scenery was like it was in the film"
3557929,129,"Wanted to see where the film was made"
3557929,130,"I wanted to visit Hobbiton"
3557933,127,"The scenery"
3557933,128,"Wanted to see if the scenery was like it was in the film"
3557933,129,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557933,130,"I wanted to visit Hobbiton"
3557933,131,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3557951,100,"The scenery"
3557951,101,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3557965,92,"The scenery"
3557965,93,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557965,94,"Wanted to see where the film was made"
3557965,95,"I wanted to visit Hobbiton"
3557966,135,"The scenery"
3557966,136,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557966,137,"Wanted to see where the film was made"
3557974,116,"Not sure"
3557982,128,"The scenery"
3557982,129,"Wanted to see if the scenery was like it was in the film"
3557982,130,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557982,131,"Wanted to see where the film was made"
3557982,132,"I wanted to visit Hobbiton"
3557982,133,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3557990,106,"The scenery"
3557990,107,"Wanted to see if the scenery was like it was in the film"
3557990,108,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557990,109,"Wanted to see where the film was made"
3557990,110,"I wanted to visit Hobbiton"
3557990,111,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3557995,106,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557995,107,"I wanted to visit Hobbiton"
3557997,104,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3557997,105,"I wanted to visit Hobbiton"
3558002,113,"The scenery"
3558002,114,"Wanted to see if the scenery was like it was in the film"
3558002,115,"Wanted to see where the film was made"
3558002,116,"I wanted to visit Hobbiton"
3558008,132,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558010,119,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558010,120,"I wanted to visit Hobbiton"
3558030,99,"The scenery"
3558030,100,"Wanted to see if the scenery was like it was in the film"
3558031,143,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558031,144,"Wanted to see where the film was made"
3558031,145,"I wanted to visit Hobbiton"
3558073,175,"The scenery"
3558073,176,"Wanted to see if the scenery was like it was in the film"
3558073,177,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558080,129,"The scenery"
3558080,130,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558080,131,"I wanted to visit Hobbiton"
3558080,132,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558097,134,"The scenery"
3558097,135,"Wanted to see if the scenery was like it was in the film"
3558097,136,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558097,137,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558108,162,"The scenery"
3558108,163,"Wanted to see if the scenery was like it was in the film"
3558108,164,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558108,165,"Wanted to see where the film was made"
3558108,166,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558115,129,"Wanted to see where the film was made"
3558116,136,"The scenery"
3558116,137,"Wanted to see if the scenery was like it was in the film"
3558116,138,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558116,139,"Wanted to see where the film was made"
3558116,140,"I wanted to visit Hobbiton"
3558121,115,"The scenery"
3558121,116,"Wanted to see if the scenery was like it was in the film"
3558121,117,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558121,118,"I wanted to visit Hobbiton"
3558122,101,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558132,144,"The scenery"
3558132,145,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558160,86,"The scenery"
3558160,87,"Wanted to see if the scenery was like it was in the film"
3558160,88,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558160,89,"Wanted to see where the film was made"
3558160,90,"I wanted to visit Hobbiton"
3558176,183,"The scenery"
3558176,184,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558176,185,"I wanted to visit Hobbiton"
3558176,186,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558213,134,"The scenery"
3558215,115,"The scenery"
3558215,116,"Wanted to see if the scenery was like it was in the film"
3558215,117,"I wanted to visit Hobbiton"
3558215,118,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558247,124,"The scenery"
3558247,125,"Wanted to see if the scenery was like it was in the film"
3558247,126,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558247,127,"Wanted to see where the film was made"
3558247,128,"I wanted to visit Hobbiton"
3558247,129,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558247,130,"Something else"
3558258,130,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558258,131,"I wanted to visit Hobbiton"
3558294,130,"The scenery"
3558294,131,"Wanted to see if the scenery was like it was in the film"
3558294,132,"I wanted to visit Hobbiton"
3558297,116,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558297,117,"Wanted to see where the film was made"
3558338,122,"Wanted to see if the scenery was like it was in the film"
3558338,123,"Wanted to see where the film was made"
3558338,124,"I wanted to visit Hobbiton"
3558350,126,"The scenery"
3558350,127,"Wanted to see if the scenery was like it was in the film"
3558376,115,"Wanted to see if the scenery was like it was in the film"
3558376,116,"Wanted to see where the film was made"
3558376,117,"I wanted to visit Hobbiton"
3558389,103,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558389,104,"I wanted to visit Hobbiton"
3558426,145,"Wanted to see if the scenery was like it was in the film"
3558426,146,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558436,105,"Wanted to see if the scenery was like it was in the film"
3558436,106,"Wanted to see where the film was made"
3558436,107,"I wanted to visit Hobbiton"
3558457,151,"The scenery"
3558457,152,"Wanted to see if the scenery was like it was in the film"
3558460,208,"The scenery"
3558460,209,"Wanted to see if the scenery was like it was in the film"
3558460,210,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558460,211,"Wanted to see where the film was made"
3558460,212,"I wanted to visit Hobbiton"
3558467,197,"The scenery"
3558475,127,"The scenery"
3558475,128,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558475,129,"Wanted to see where the film was made"
3558521,137,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558533,135,"The scenery"
3558533,136,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558533,137,"Wanted to see where the film was made"
3558533,138,"I wanted to visit Hobbiton"
3558533,139,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558535,115,"The scenery"
3558535,116,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558535,117,"I wanted to visit Hobbiton"
3558535,118,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558537,102,"Wanted to see where the film was made"
3558537,103,"I wanted to visit Hobbiton"
3558537,104,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558549,119,"The scenery"
3558572,126,"The scenery"
3558572,127,"Wanted to see if the scenery was like it was in the film"
3558572,128,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558572,129,"Wanted to see where the film was made"
3558572,130,"I wanted to visit Hobbiton"
