"SurveyResponseID","AnswerNumber","AnswerYN","AmenityType"
3557295,180,"Yes","Accommodation"
3557313,169,"Yes","Accommodation"
3557295,182,"Yes","Activities"
3557648,188,"Yes","Activities"
3557468,135,"Yes","Accommodation"
3557379,168,"Yes","Activities"
3557518,140,"Yes","Activities"
3557295,181,"Yes","Transport"
3557833,126,"Yes","Transport"
3557833,125,"Yes","Accommodation"
3557468,136,"Yes","Transport"
3557518,139,"Yes","Transport"
3557561,118,"Yes","Accommodation"
3557663,137,"No","All"
3557833,127,"Yes","Activities"
3557693,141,"No","All"
3558043,202,"No","All"
3557518,138,"Yes","Accommodation"
3557648,187,"Yes","Accommodation"
3557670,157,"Yes","Activities"
3557966,184,"Yes","Activities"
3557670,156,"Yes","Accommodation"
3557897,199,"Yes","Accommodation"
3558299,179,"Yes","Activities"
3558447,112,"No","All"
3558299,178,"Yes","Accommodation"
3558570,188,"Yes","Accommodation"
3558854,153,"Yes","Accommodation"
3558365,185,"No","All"
3558711,128,"No","All"
3558570,189,"Yes","Activities"
3558983,171,"No","All"
3557722,170,"Yes","Accommodation"
3558740,120,"Yes","Activities"
3559029,105,"No","All"
3557966,183,"Yes","Transport"
3559431,133,"Yes","Accommodation"
3558005,151,"No","All"
3558290,119,"No","All"
3559183,162,"No","All"
3559356,207,"Yes","Activities"
3558691,157,"Yes","Transport"
3577635,171,"Yes","Accommodation"
3577735,152,"Yes","Accommodation"
3558307,225,"No","All"
3559638,146,"Yes","Activities"
3558691,158,"Yes","Activities"
3558776,170,"No","All"
3558777,198,"No","All"
3577568,163,"Yes","Activities"
3558691,156,"Yes","Accommodation"
3577724,128,"Yes","Accommodation"
3577785,122,"Yes","Accommodation"
3577837,170,"Yes","Accommodation"
3577735,153,"Yes","Activities"
3559262,157,"Yes","Activities"
3577935,145,"No","All"
3577926,177,"No","All"
3577937,180,"Yes","Activities"
3578185,147,"No","All"
3559262,156,"Yes","Accommodation"
3559344,194,"Yes","Accommodation"
3578740,144,"Yes","Accommodation"
3578299,152,"Yes","Accommodation"
3577937,179,"Yes","Accommodation"
3578754,133,"Yes","Accommodation"
3578335,129,"No","All"
3559462,146,"Yes","Activities"
3577785,123,"Yes","Transport"
3559462,145,"Yes","Accommodation"
3578838,157,"Yes","Accommodation"
3559543,186,"Yes","Accommodation"
3578872,149,"Yes","Accommodation"
3578874,145,"Yes","Transport"
3578785,151,"Yes","Accommodation"
3577635,172,"Yes","Transport"
3559543,187,"Yes","Transport"
3578905,153,"Yes","Accommodation"
