"SurveyResponseID","AnswerNumber","QualmarkFailedExpn"
3558519,165,"Too expensive"
3558519,166,"Poor customer service"
3579373,148,"Poor/old facilities"
3579373,149,"Poor customer service"
3558519,168,"Noisy"
3579373,152,"No air-conditioning/heating inadequate"
3579373,150,"Poor standard of cleanliness/dirty"
3579375,152,"Too expensive"
3579375,153,"Poor customer service"
3558519,164,"The Qualmark rating was too high"
3579375,151,"The Qualmark rating was too high"
3558519,167,"Poor value for money"
3579373,151,"Generally poor standard"
3579373,153,"Poor value for money"
3579425,159,"Too expensive"
3579373,154,"Noisy"
3579375,154,"No free internet"
3579375,155,"No air-conditioning/heating inadequate"
3579425,160,"Poor standard of cleanliness/dirty"
3579375,156,"Noisy"
3579425,162,"Noisy"
3579425,161,"Generally poor standard"
3579425,163,"Another reason"
3579294,163,"Another reason"
3579294,159,"Too expensive"
3579294,160,"No free internet"
3579294,161,"No air-conditioning/heating inadequate"
3579298,154,"The Qualmark rating was too high"
3579456,166,"Poor customer service"
3579456,167,"Poor standard of cleanliness/dirty"
3579294,162,"Noisy"
3579376,148,"No air-conditioning/heating inadequate"
3579456,168,"No air-conditioning/heating inadequate"
3579456,170,"Noisy"
3579298,157,"No free internet"
3579376,145,"The Qualmark rating was too high"
3579456,171,"Another reason"
3579376,144,"Poor/old facilities"
3579376,146,"Poor standard of cleanliness/dirty"
3579298,155,"Too expensive"
3579298,156,"Poor customer service"
3579458,162,"Too expensive"
3579316,151,"Poor/old facilities"
3579316,152,"Poor customer service"
3579298,160,"Noisy"
3579458,163,"No air-conditioning/heating inadequate"
3579316,153,"No free internet"
3579316,155,"No air-conditioning/heating inadequate"
3579376,147,"Generally poor standard"
3579456,169,"Poor value for money"
3579316,157,"Noisy"
3579288,139,"No free internet"
3579458,164,"Another reason"
3579473,136,"Another reason"
3579298,158,"Generally poor standard"
3579298,159,"Poor value for money"
3579316,154,"Generally poor standard"
3579316,156,"Poor value for money"
3579473,134,"Generally poor standard"
3579473,135,"Poor value for money"
3579288,140,"Generally poor standard"
3579288,141,"No air-conditioning/heating inadequate"
3579288,142,"Another reason"
3579473,132,"Poor/old facilities"
3579473,133,"Poor standard of cleanliness/dirty"
3579288,137,"Poor/old facilities"
3579288,138,"Poor customer service"
3579496,128,"Poor/old facilities"
3579311,146,"Poor/old facilities"
3579496,130,"No free internet"
3579521,164,"No free internet"
3579311,147,"The Qualmark rating was too high"
3579496,129,"Poor customer service"
3579311,148,"Poor customer service"
3579521,162,"Poor/old facilities"
3579366,129,"Poor customer service"
3579521,163,"Poor standard of cleanliness/dirty"
3579311,149,"Poor standard of cleanliness/dirty"
3579521,165,"Noisy"
3579366,131,"No free internet"
3579366,133,"Noisy"
3579311,150,"No free internet"
3579311,152,"No air-conditioning/heating inadequate"
3579416,163,"No free internet"
3579521,166,"Another reason"
