"SurveyResponseID","AnswerNumber","AmenityType","SatisfactionRatingReason"
3557313,133,"Customer service","Another reason"
3557279,82,"Sense of safety","Felt unsafe"
3557298,101,"Food & beverage outlets","Limited choices"
3557298,100,"Food & beverage outlets","Too expensive"
3557298,103,"Food & beverage outlets","Supermarkets lack of variety"
3557286,100,"Commercial transport","Not sure"
3557298,102,"Food & beverage outlets","Not as good as you get overseas"
3557368,79,"Accommodation","Poor standard of cleanliness/dirty"
3557293,109,"i-Sites","No reason"
3557368,80,"Accommodation","No air-conditioning/heating inadequate"
3557384,103,"Maori activities experienced","Learnt about a new culture"
3557384,106,"Maori activities experienced","Good quality/standard"
3557368,81,"Accommodation","Another reason"
3557384,104,"Maori activities experienced","Informative"
3557384,105,"Maori activities experienced","Entertaining"
3557436,101,"Accommodation","Too expensive"
3557310,84,"Food & beverage outlets","Limited choices"
3557436,102,"Accommodation","No free internet"
3557305,94,"Commercial transport","Expensive"
3557384,107,"Maori activities experienced","Another indifferent or poor aspect"
3557332,81,"Commercial transport","Inconvenient public transportation"
3557436,103,"Accommodation","No air-conditioning/heating inadequate"
3557324,118,"Food & beverage outlets","Too expensive"
3557346,95,"Food & beverage outlets","Alcohol too expensive"
3557305,97,"Commercial transport","Another reason"
3557305,95,"Commercial transport","Rental car/company did not meet expectations"
3557305,96,"Commercial transport","Poor customer service"
3557326,105,"Commercial transport","No reason"
3557466,109,"i-Sites","No reason"
3557340,85,"i-Sites","Another reason"
3557436,104,"Accommodation","Noisy"
3557450,105,"Food & beverage outlets","Another reason"
3557324,119,"Food & beverage outlets","Not as good as you get overseas"
3557326,106,"Maori activities experienced","No reason"
3557348,92,"Accommodation","No reason"
3557338,91,"NZ environment","No reason"
3557335,82,"NZ environment","Dull cities"
3557347,87,"Customer service","Another reason"
3557364,81,"Food & beverage outlets","Another reason"
3557348,93,"Sense of safety","Poor road signage"
3557362,81,"Commercial transport","Expensive"
3557362,82,"Commercial transport","Rental car/company did not meet expectations"
3557468,92,"Customer service","Another reason"
3557335,81,"Customer service","Slow"
3557362,83,"Commercial transport","Another reason"
3557310,85,"Customer service","No reason"
3557348,94,"Sense of safety","No safety barriers"
3557493,91,"Food & beverage outlets","Limited choices"
3557374,106,"Accommodation","Poor/old facilities"
3557371,144,"Accommodation","Too expensive"
3557493,92,"Food & beverage outlets","Poor food quality"
3557378,115,"Food & beverage outlets","Limited choices"
3557371,145,"Accommodation","Poor value for money"
3557378,116,"Food & beverage outlets","Another reason"
3557392,103,"Food & beverage outlets","Another reason"
3557398,85,"Food & beverage outlets","No reason"
3557406,91,"Maori activities experienced","Did not live up to expectations"
3557430,130,"Maori activities experienced","Informative"
3557550,101,"Sense of safety","Felt unsafe"
3557472,106,"Food & beverage outlets","Not sure"
3557474,90,"Food & beverage outlets","Too expensive"
3557430,129,"Maori activities experienced","Learnt about a new culture"
3557561,80,"NZ environment","No reason"
3557550,100,"Customer service","Staff not friendly"
3557428,130,"Maori activities experienced","Good quality/standard"
3557472,105,"Accommodation","Not sure"
3557372,83,"Commercial transport","Another reason"
3557428,127,"Commercial transport","Another reason"
3557392,104,"Activities experienced","Another reason"
3557428,129,"Maori activities experienced","Informative"
3557487,116,"Food & beverage outlets","No reason"
3557595,121,"Accommodation","Poor/old facilities"
3557448,98,"Customer service","Staff seemed rushed"
3557503,110,"i-Sites","No reason"
3557513,95,"Accommodation","Generally poor standard"
3557428,128,"Maori activities experienced","Learnt about a new culture"
3557586,85,"NZ environment","Another reason"
3557496,99,"Customer service","Staff didn't care"
3557489,112,"Customer service","No reason"
3557526,90,"Customer service","Staff not friendly"
3557503,109,"Food & beverage outlets","Too expensive"
3557497,113,"Maori activities experienced","Informative"
3557474,91,"Food & beverage outlets","Not as good as you get overseas"
3557496,100,"Customer service","Slow"
3557489,111,"Food & beverage outlets","Too expensive"
3557609,81,"Food & beverage outlets","Limited choices"
3557618,99,"Food & beverage outlets","Too expensive"
3557544,87,"Food & beverage outlets","Limited choices"
3557526,91,"Customer service","Staff not knowledgeable"
3557435,104,"Food & beverage outlets","No reason"
3557595,122,"Accommodation","Too expensive"
3557497,112,"Food & beverage outlets","Not sure"
3557618,100,"Food & beverage outlets","Not as good as you get overseas"
3557544,88,"Maori activities experienced","Informative"
3557539,104,"Food & beverage outlets","Limited choices"
3557474,92,"Commercial transport","Expensive"
3557474,93,"Commercial transport","Inconvenient public transportation"
3557540,99,"Commercial transport","Inconvenient public transportation"
3557595,124,"Commercial transport","Rental car/company did not meet expectations"
3557602,91,"Commercial transport","Inconvenient public transportation"
3557553,143,"Commercial transport","Expensive"
3557553,145,"Commercial transport","The transport was delayed"
3557563,121,"Food & beverage outlets","Poor service"
3557563,124,"Maori activities experienced","Poor quality/standard"
3557727,131,"Food & beverage outlets","Poor service"
3557540,98,"Commercial transport","Expensive"
3557540,101,"Commercial transport","Another reason"
3557563,122,"Food & beverage outlets","Another reason"
3557553,146,"Customer service","Staff not knowledgeable"
3557540,102,"Activities experienced","Hard to find/need better signage"
3557595,123,"Commercial transport","Expensive"
3557553,144,"Commercial transport","Inconvenient public transportation"
3557540,100,"Commercial transport","The transport was delayed"
3557652,124,"Food & beverage outlets","Limited choices"
3557563,123,"Maori activities experienced","Learnt about a new culture"
3557727,130,"Food & beverage outlets","Too expensive"
3557727,132,"i-Sites","Too busy/long queues"
3557558,134,"Accommodation","Too expensive"
3557558,133,"Accommodation","Poor/old facilities"
3557558,136,"Accommodation","Noisy"
3557727,134,"i-Sites","Shut too early/short opening hours"
