"SurveyResponseID","AnswerNumber","SocialMediaUsed","TripStage"
3557276,141,"None of these","Planning trip to NZ"
3557286,129,"None of these","Planning trip to NZ"
3557284,165,"Facebook","During trip to NZ"
3557284,168,"Facebook","After trip to NZ"
3557284,166,"Instagram","During trip to NZ"
3557276,142,"Twitter","During trip to NZ"
3557291,101,"None of these","After trip to NZ"
3557293,136,"Facebook","During trip to NZ"
3557291,99,"None of these","Planning trip to NZ"
3557283,110,"None of these","Planning trip to NZ"
3557284,164,"Google+","Planning trip to NZ"
3557293,137,"Facebook","After trip to NZ"
3557310,108,"None of these","Planning trip to NZ"
3557284,167,"Google+","During trip to NZ"
3557286,131,"None of these","After trip to NZ"
3557286,130,"None of these","During trip to NZ"
3557276,143,"Twitter","After trip to NZ"
3557291,100,"None of these","During trip to NZ"
3557293,135,"Google+","Planning trip to NZ"
3557325,111,"None of these","Planning trip to NZ"
3557283,111,"None of these","During trip to NZ"
3557324,158,"None of these","Planning trip to NZ"
3557325,112,"None of these","During trip to NZ"
3557324,160,"None of these","After trip to NZ"
3557310,109,"Instagram","During trip to NZ"
3557326,138,"Facebook","Planning trip to NZ"
3557335,106,"None of these","Planning trip to NZ"
3557289,147,"Facebook","Planning trip to NZ"
3557283,112,"None of these","After trip to NZ"
3557310,110,"None of these","After trip to NZ"
3557324,159,"None of these","During trip to NZ"
3557326,139,"Facebook","During trip to NZ"
3557335,108,"None of these","After trip to NZ"
3557335,107,"None of these","During trip to NZ"
3557325,113,"None of these","After trip to NZ"
3557289,148,"Facebook","During trip to NZ"
3557278,114,"Facebook","Planning trip to NZ"
3557336,161,"Instagram","Planning trip to NZ"
3557326,140,"Facebook","After trip to NZ"
3557336,160,"Facebook","Planning trip to NZ"
3557279,115,"Facebook","Planning trip to NZ"
3557278,116,"Facebook","After trip to NZ"
3557289,149,"Facebook","After trip to NZ"
3557336,163,"Facebook","During trip to NZ"
3557336,166,"Instagram","After trip to NZ"
3557336,164,"Instagram","During trip to NZ"
3557279,116,"None of these","During trip to NZ"
3557358,107,"Twitter","During trip to NZ"
3557280,116,"Facebook","Planning trip to NZ"
3557305,117,"None of these","During trip to NZ"
3557352,118,"None of these","After trip to NZ"
3557358,109,"Facebook","After trip to NZ"
3557305,116,"None of these","Planning trip to NZ"
3557352,116,"None of these","Planning trip to NZ"
3557280,117,"None of these","During trip to NZ"
3557279,118,"Instagram","After trip to NZ"
3557358,108,"Instagram","During trip to NZ"
3557358,105,"None of these","Planning trip to NZ"
3557278,115,"Facebook","During trip to NZ"
3557336,162,"Pinterest","Planning trip to NZ"
3557336,165,"Facebook","After trip to NZ"
3557279,117,"Facebook","After trip to NZ"
3557358,106,"Facebook","During trip to NZ"
3557352,117,"None of these","During trip to NZ"
3557305,118,"None of these","After trip to NZ"
3557360,133,"None of these","During trip to NZ"
