"SurveyResponseID","AnswerNumber","TechnologyType"
3557276,130,"Wi-fi internet locations"
3557283,102,"Wi-fi internet locations"
3557310,102,"Wi-fi internet locations"
3557276,129,"Smart phone"
3557283,101,"Smart phone"
3557310,101,"Smart phone"
3557289,138,"Smart phone"
3557324,145,"Your own laptop or iPad/tablet"
3557326,127,"Wi-fi internet locations"
3557323,119,"Wi-fi internet locations"
3557335,101,"Wi-fi internet locations"
3557305,111,"Smart phone"
3557324,144,"Smart phone"
3557326,126,"Smart phone"
3557323,118,"Smart phone"
3557340,98,"Wi-fi internet locations"
3557340,99,"Your own laptop or iPad/tablet"
3557355,111,"Wi-fi internet locations"
3557355,112,"Your own laptop or iPad/tablet"
3557358,97,"Wi-fi internet locations"
3557335,100,"Smart phone"
3557338,103,"Smart phone"
3557355,110,"Smart phone"
3557358,96,"Smart phone"
3557360,122,"Smart phone"
3557378,140,"Smart phone"
3557370,99,"Your own laptop or iPad/tablet"
3557371,174,"Internet cafes"
3557371,175,"Wi-fi internet locations"
3557372,97,"Your own laptop or iPad/tablet"
3557376,112,"Your own laptop or iPad/tablet"
3557378,141,"Wi-fi internet locations"
3557390,100,"Smart phone"
3557404,96,"Smart phone"
3557378,142,"Your own laptop or iPad/tablet"
3557383,144,"Wi-fi internet locations"
3557385,146,"Wi-fi internet locations"
3557424,108,"Wi-fi internet locations"
3557424,109,"Your own laptop or iPad/tablet"
3557385,147,"Your own laptop or iPad/tablet"
3557392,134,"Wi-fi internet locations"
3557392,135,"Your own laptop or iPad/tablet"
3557401,113,"Your own laptop or iPad/tablet"
3557474,113,"Wi-fi internet locations"
3557406,107,"Smart phone"
3557385,145,"Smart phone"
3557407,124,"Smart phone"
3557424,107,"Smart phone"
3557392,133,"Smart phone"
3557474,112,"Smart phone"
3557489,135,"Wi-fi internet locations"
3557489,136,"Your own laptop or iPad/tablet"
3557435,121,"Wi-fi internet locations"
3557435,122,"Your own laptop or iPad/tablet"
3557276,131,"Other types of technology"
3557490,126,"Wi-fi internet locations"
3557490,127,"Your own laptop or iPad/tablet"
3557487,130,"Smart phone"
3557488,154,"Smart phone"
3557489,134,"Smart phone"
3557428,147,"Smart phone"
3557490,125,"Smart phone"
3557435,120,"Smart phone"
3557505,130,"Wi-fi internet locations"
3557451,133,"Your own laptop or iPad/tablet"
3557507,144,"Wi-fi internet locations"
3557284,149,"Wi-fi internet locations"
3557526,113,"Wi-fi internet locations"
3557284,150,"Your own laptop or iPad/tablet"
3557505,129,"Smart phone"
3557451,132,"Smart phone"
3557540,124,"Smart phone"
3557503,130,"Smart phone"
3557284,148,"Smart phone"
3557526,112,"Smart phone"
3557554,139,"Wi-fi internet locations"
3557554,140,"Your own laptop or iPad/tablet"
3557286,115,"Your own laptop or iPad/tablet"
3557535,115,"Wi-fi internet locations"
3557535,116,"Your own laptop or iPad/tablet"
3557544,110,"Wi-fi internet locations"
3557544,111,"Your own laptop or iPad/tablet"
3557554,138,"Smart phone"
3557286,114,"Smart phone"
3557535,114,"Smart phone"
3557291,95,"None of these"
3557555,145,"Wi-fi internet locations"
3557555,146,"Your own laptop or iPad/tablet"
3557293,128,"Your own laptop or iPad/tablet"
3557551,157,"Wi-fi internet locations"
3557553,178,"Internet cafes"
3557553,179,"Wi-fi internet locations"
3557553,180,"Your own laptop or iPad/tablet"
3557544,109,"Smart phone"
3557555,144,"Smart phone"
3557293,127,"Smart phone"
3557551,156,"Smart phone"
3557553,177,"Smart phone"
3557325,104,"Smart phone"
3557557,150,"Internet cafes"
3557557,151,"Wi-fi internet locations"
3557325,105,"Wi-fi internet locations"
3557325,106,"Your own laptop or iPad/tablet"
3557558,163,"Internet cafes"
3557558,164,"Wi-fi internet locations"
3557558,165,"Your own laptop or iPad/tablet"
3557336,144,"Internet cafes"
3557573,118,"Wi-fi internet locations"
3557336,145,"Wi-fi internet locations"
3557573,119,"Your own laptop or iPad/tablet"
3557336,146,"Your own laptop or iPad/tablet"
3557560,105,"Wi-fi internet locations"
3557558,162,"Smart phone"
3557336,143,"Smart phone"
3557573,117,"Smart phone"
3557591,129,"Smart phone"
3557591,130,"Wi-fi internet locations"
3557591,131,"Your own laptop or iPad/tablet"
3557361,133,"Your own laptop or iPad/tablet"
3557368,99,"Wi-fi internet locations"
3557621,184,"Internet cafes"
3557384,135,"Wi-fi internet locations"
3557352,110,"Smart phone"
3557361,132,"Smart phone"
3557621,183,"Smart phone"
3557384,134,"Smart phone"
3557621,185,"Wi-fi internet locations"
3557621,186,"Your own laptop or iPad/tablet"
3557384,136,"Your own laptop or iPad/tablet"
3557622,145,"Wi-fi internet locations"
3557603,120,"Internet cafes"
3557393,102,"Wi-fi internet locations"
3557601,115,"None of these"
3557603,119,"Smart phone"
3557622,144,"Smart phone"
3557393,101,"Smart phone"
3557608,125,"Smart phone"
3557638,90,"Smart phone"
3557610,156,"Smart phone"
3557603,121,"Wi-fi internet locations"
3557623,122,"Wi-fi internet locations"
3557623,123,"Your own laptop or iPad/tablet"
3557603,122,"Your own laptop or iPad/tablet"
3557608,126,"Wi-fi internet locations"
3557610,157,"Wi-fi internet locations"
3557416,103,"Smart phone"
3557640,197,"Smart phone"
3557418,104,"Smart phone"
3557654,101,"Smart phone"
3557610,158,"Your own laptop or iPad/tablet"
3557640,198,"Your own laptop or iPad/tablet"
3557418,105,"Your own laptop or iPad/tablet"
3557617,151,"Smart phone"
3557436,140,"Smart phone"
3557654,102,"Your own laptop or iPad/tablet"
3557617,152,"Wi-fi internet locations"
3557436,141,"Wi-fi internet locations"
3557657,132,"Smart phone"
3557441,104,"Smart phone"
3557617,153,"Your own laptop or iPad/tablet"
3557657,133,"Wi-fi internet locations"
3557674,143,"Your own laptop or iPad/tablet"
3557626,160,"Wi-fi internet locations"
3557626,161,"Your own laptop or iPad/tablet"
3557450,121,"Internet cafes"
3557626,159,"Smart phone"
3557450,120,"Smart phone"
3557706,141,"Smart phone"
3557628,117,"Smart phone"
3557450,122,"Wi-fi internet locations"
3557450,123,"Your own laptop or iPad/tablet"
3557706,142,"Wi-fi internet locations"
3557628,118,"Internet cafes"
3557628,119,"Wi-fi internet locations"
3557452,126,"Wi-fi internet locations"
3557452,125,"Smart phone"
3557708,90,"Smart phone"
3557461,138,"Smart phone"
3557722,142,"Smart phone"
3557452,127,"Your own laptop or iPad/tablet"
3557707,98,"Wi-fi internet locations"
3557633,115,"Wi-fi internet locations"
3557708,91,"Your own laptop or iPad/tablet"
3557461,139,"Wi-fi internet locations"
3557466,131,"Wi-fi internet locations"
3557466,130,"Smart phone"
3557724,142,"Smart phone"
3557466,132,"Your own laptop or iPad/tablet"
3557722,143,"Internet cafes"
3557722,144,"Wi-fi internet locations"
3557468,114,"Wi-fi internet locations"
3557660,126,"Wi-fi internet locations"
3557676,126,"Wi-fi internet locations"
3557676,125,"Smart phone"
3557493,109,"Smart phone"
3557756,106,"Smart phone"
3557757,95,"Smart phone"
3557676,127,"Your own laptop or iPad/tablet"
3557756,107,"Wi-fi internet locations"
3557756,108,"Your own laptop or iPad/tablet"
3557493,110,"Your own laptop or iPad/tablet"
3557518,111,"Wi-fi internet locations"
3557685,114,"Wi-fi internet locations"
3557685,113,"Smart phone"
3557774,101,"Smart phone"
3557775,99,"Smart phone"
3557687,147,"Smart phone"
3557685,115,"Your own laptop or iPad/tablet"
3557775,100,"Wi-fi internet locations"
3557775,101,"Your own laptop or iPad/tablet"
3557687,148,"Your own laptop or iPad/tablet"
3557790,169,"Wi-fi internet locations"
3557790,170,"Your own laptop or iPad/tablet"
3557788,115,"Smart phone"
3557694,110,"Smart phone"
3557543,171,"Smart phone"
3557790,168,"Smart phone"
3557543,172,"Wi-fi internet locations"
3557712,112,"Your own laptop or iPad/tablet"
3557806,132,"Wi-fi internet locations"
3557717,141,"Wi-fi internet locations"
3557550,129,"Wi-fi internet locations"
3557561,97,"Wi-fi internet locations"
3557712,111,"Smart phone"
3557717,140,"Smart phone"
3557550,128,"Smart phone"
3557821,140,"Smart phone"
3557821,141,"Wi-fi internet locations"
3557561,98,"Your own laptop or iPad/tablet"
3557737,134,"Internet cafes"
3557737,135,"Wi-fi internet locations"
3557737,136,"Your own laptop or iPad/tablet"
3557742,149,"Wi-fi internet locations"
3557742,150,"Your own laptop or iPad/tablet"
3557823,168,"Wi-fi internet locations"
3557577,200,"Other types of technology"
3557823,169,"Your own laptop or iPad/tablet"
3557744,154,"Wi-fi internet locations"
3557744,155,"Your own laptop or iPad/tablet"
3557737,133,"Smart phone"
3557822,101,"None of these"
3557823,167,"Smart phone"
3557742,148,"Smart phone"
3557577,199,"Smart phone"
3557744,153,"Smart phone"
3557824,125,"Wi-fi internet locations"
3557824,126,"Your own laptop or iPad/tablet"
3557751,212,"Wi-fi internet locations"
3557751,213,"Your own laptop or iPad/tablet"
3557825,117,"Wi-fi internet locations"
3557595,144,"Wi-fi internet locations"
3557602,106,"Other types of technology"
3557595,145,"Your own laptop or iPad/tablet"
3557838,99,"Your own laptop or iPad/tablet"
3557609,103,"Wi-fi internet locations"
3557785,112,"Wi-fi internet locations"
3557586,99,"Smart phone"
3557824,124,"Smart phone"
3557751,211,"Smart phone"
3557825,116,"Smart phone"
3557753,100,"None of these"
3557595,143,"Smart phone"
3557792,109,"Smart phone"
3557858,146,"Wi-fi internet locations"
3557858,147,"Your own laptop or iPad/tablet"
3557618,121,"Your own laptop or iPad/tablet"
3557810,110,"Wi-fi internet locations"
3557858,145,"Smart phone"
3557618,120,"Smart phone"
3557810,109,"Smart phone"
3557817,96,"Smart phone"
3557872,120,"Smart phone"
3557819,140,"Smart phone"
3557810,111,"Your own laptop or iPad/tablet"
3557634,99,"Wi-fi internet locations"
3557817,97,"Wi-fi internet locations"
3557817,98,"Your own laptop or iPad/tablet"
3557872,121,"Wi-fi internet locations"
3557819,141,"Wi-fi internet locations"
3557645,118,"Smart phone"
3557652,147,"Smart phone"
3557889,192,"Smart phone"
3557844,95,"Smart phone"
3557819,142,"Your own laptop or iPad/tablet"
3557645,119,"Wi-fi internet locations"
3557889,193,"Wi-fi internet locations"
3557652,148,"Wi-fi internet locations"
3557844,96,"Wi-fi internet locations"
3557670,132,"Wi-fi internet locations"
3557670,131,"Smart phone"
3557891,149,"Smart phone"
3557675,100,"None of these"
3557670,133,"Your own laptop or iPad/tablet"
3557891,150,"Wi-fi internet locations"
3557891,151,"Your own laptop or iPad/tablet"
3557907,99,"Your own laptop or iPad/tablet"
3557677,153,"Internet cafes"
3557677,154,"Wi-fi internet locations"
3557677,152,"Smart phone"
3557846,181,"Smart phone"
3557922,118,"Smart phone"
3557693,119,"Smart phone"
3557922,119,"Wi-fi internet locations"
3557846,182,"Internet cafes"
3557846,183,"Wi-fi internet locations"
3557846,184,"Your own laptop or iPad/tablet"
3557693,120,"Wi-fi internet locations"
3557938,111,"Smart phone"
3557867,98,"Smart phone"
3557938,112,"Wi-fi internet locations"
3557702,113,"Smart phone"
3557940,102,"Smart phone"
3557867,99,"Your own laptop or iPad/tablet"
3557940,103,"Wi-fi internet locations"
3557940,104,"Your own laptop or iPad/tablet"
3557869,162,"Internet cafes"
3557727,158,"Wi-fi internet locations"
3557727,159,"Your own laptop or iPad/tablet"
3557869,161,"Smart phone"
3557956,144,"Smart phone"
3557956,145,"Your own laptop or iPad/tablet"
