"SurveyResponseID","AnswerNumber","TechnologyUses"
3557278,111,"Attractions / Activities"
3557279,112,"Attractions / Activities"
3557278,110,"Internet access"
3557279,109,"General information about the region you were in"
3557279,110,"Internet access"
3557279,111,"Transport/ travel options around New Zealand"
3557280,108,"Check/confirm existing travel plans"
3557280,113,"Flights within New Zealand"
3557280,111,"Internet access"
3557280,109,"Weather information"
3557295,142,"Overview of NZ regions"
3557295,143,"Transport/ travel options around New Zealand"
3557298,133,"Check/confirm existing travel plans"
3557284,152,"Check/confirm existing travel plans"
3557280,110,"Maps"
3557298,135,"Maps"
3557280,112,"Directions"
3557298,132,"General information about the region you were in"
3557298,136,"Internet access"
3557298,137,"Compare prices / find deals"
3557298,140,"General information about a different region"
3557298,141,"See ratings by other travellers"
3557298,144,"Accommodation in a different region"
3557298,146,"Flights within New Zealand"
3557298,147,"Attractions / Activities"
3557298,148,"Suggested itineraries"
3557298,138,"Directions"
3557284,155,"Internet access"
3557284,154,"Maps"
3557284,158,"See ratings by other travellers"
3557284,156,"Compare prices / find deals"
3557298,134,"Weather information"
3557298,139,"Overview of NZ regions"
3557298,142,"Information about amenities/services for the town you were in"
3557298,143,"Accommodation in the region you were in"
3557298,145,"Transport/ travel options around New Zealand"
3557284,161,"Attractions / Activities"
3557313,157,"Check/confirm existing travel plans"
3557286,118,"Check/confirm existing travel plans"
3557286,125,"Flights within New Zealand"
3557286,126,"Attractions / Activities"
3557313,158,"Maps"
3557286,120,"Maps"
3557286,123,"General information about a different region"
3557284,157,"Directions"
3557286,117,"General information about the region you were in"
3557286,121,"Internet access"
3557284,153,"Weather information"
3557284,159,"Information about amenities/services for the town you were in"
3557284,160,"Transport/ travel options around New Zealand"
3557313,159,"Accommodation in the region you were in"
3557286,119,"Weather information"
3557286,124,"Transport/ travel options around New Zealand"
3557293,130,"Weather information"
3557276,132,"Check/confirm existing travel plans"
3557286,122,"Directions"
3557293,132,"Internet access"
3557329,111,"Internet access"
3557331,141,"Internet access"
3557276,138,"Attractions / Activities"
3557276,136,"Internet access"
3557331,142,"Accommodation in the region you were in"
3557276,134,"Weather information"
3557276,137,"Transport/ travel options around New Zealand"
3557293,131,"Maps"
3557331,140,"Maps"
3557276,133,"Access to resources to assist you to plan"
3557325,108,"None of these"
3557346,123,"Attractions / Activities"
3557336,148,"Check/confirm existing travel plans"
3557346,121,"Internet access"
3557283,106,"Internet access"
3557276,135,"Maps"
3557346,120,"Maps"
3557283,105,"Maps"
3557336,150,"Maps"
3557336,157,"Attractions / Activities"
3557336,158,"Suggested itineraries"
3557336,154,"See ratings by other travellers"
3557336,155,"Accommodation in a different region"
3557347,109,"See ratings by other travellers"
3557346,119,"Weather information"
3557346,122,"Transport/ travel options around New Zealand"
3557283,104,"Weather information"
3557283,107,"Accommodation in the region you were in"
3557336,149,"Weather information"
3557336,156,"Transport/ travel options around New Zealand"
3557347,111,"Attractions / Activities"
3557336,151,"Internet access"
3557336,152,"Compare prices / find deals"
3557336,153,"Directions"
3557347,106,"Internet access"
3557347,107,"Compare prices / find deals"
3557347,110,"Information about amenities/services for the town you were in"
3557348,115,"Weather information"
3557348,116,"Maps"
3557348,118,"See ratings by other travellers"
3557362,100,"Access to resources to assist you to plan"
3557352,112,"Check/confirm existing travel plans"
3557348,119,"Information about amenities/services for the town you were in"
3557352,113,"Weather information"
3557310,105,"Weather information"
3557362,101,"Weather information"
3557324,148,"Check/confirm existing travel plans"
3557361,135,"Weather information"
3557361,142,"Attractions / Activities"
3557347,108,"Directions"
3557348,117,"Internet access"
3557310,104,"General information about the region you were in"
3557362,103,"Internet access"
3557324,147,"General information about the region you were in"
3557362,102,"Maps"
3557361,136,"Maps"
3557361,138,"General information about a different region"
3557361,140,"Accommodation in a different region"
3557361,139,"Accommodation in the region you were in"
3557361,141,"Transport/ travel options around New Zealand"
3557324,149,"Weather information"
3557324,155,"Flights within New Zealand"
3557324,156,"Suggested itineraries"
3557324,150,"Maps"
3557324,153,"See ratings by other travellers"
3557324,154,"Accommodation in a different region"
3557364,111,"Maps"
3557326,130,"Maps"
3557364,112,"Attractions / Activities"
3557361,137,"Directions"
3557324,151,"Internet access"
3557324,152,"Compare prices / find deals"
3557326,131,"Compare prices / find deals"
3557326,135,"Accommodation in a different region"
3557326,129,"Weather information"
3557326,133,"Overview of NZ regions"
3557326,134,"Accommodation in the region you were in"
3557379,149,"Check/confirm existing travel plans"
3557379,154,"Attractions / Activities"
3557379,155,"Suggested itineraries"
3557358,99,"Check/confirm existing travel plans"
