"SurveyResponseID","AnswerNumber","TravelledWith"
3557278,39,"Other person(s)"
3557282,38,"Other family / relative(s)"
3557295,40,"Child/children aged 15 or older"
3557287,42,"Other person(s)"
3557277,42,"Other family / relative(s)"
3557296,50,"Child/children aged 15 or older"
3557279,38,"My husband, wife or partner"
3557296,49,"Child/children aged under 15"
3557296,48,"My husband, wife or partner"
3557297,42,"Child/children aged 15 or older"
3557312,39,"Other family / relative(s)"
3557288,39,"Other family / relative(s)"
3557297,41,"Child/children aged under 15"
3557314,41,"Child/children aged under 15"
3557298,42,"My husband, wife or partner"
3557313,63,"My husband, wife or partner"
3557314,40,"My husband, wife or partner"
3557315,43,"My husband, wife or partner"
3557289,46,"Other person(s)"
3557303,42,"My husband, wife or partner"
3557290,47,"Other family / relative(s)"
3557304,42,"My husband, wife or partner"
3557320,42,"Other family / relative(s)"
3557305,42,"My husband, wife or partner"
3557306,39,"My husband, wife or partner"
3557322,38,"My husband, wife or partner"
3557323,45,"Child/children aged 15 or older"
3557286,40,"Other person(s)"
3557337,42,"Other family / relative(s)"
3557338,40,"Other family / relative(s)"
3557293,42,"Child/children aged 15 or older"
3557354,38,"Other person(s)"
3557274,40,"Child/children aged 15 or older"
3557337,41,"My husband, wife or partner"
3557293,40,"My husband, wife or partner"
3557293,41,"Child/children aged under 15"
3557355,39,"Child/children aged under 15"
3557357,43,"Child/children aged under 15"
3557315,44,"Child/children aged 15 or older"
3557285,46,"Child/children aged 15 or older"
3557328,44,"Other family / relative(s)"
3557294,46,"Other person(s)"
3557356,39,"Other family / relative(s)"
3557355,38,"My husband, wife or partner"
3557285,45,"My husband, wife or partner"
3557292,38,"My husband, wife or partner"
3557330,40,"My husband, wife or partner"
3557357,42,"My husband, wife or partner"
3557300,42,"My husband, wife or partner"
3557302,39,"My husband, wife or partner"
3557316,39,"My husband, wife or partner"
3557346,40,"My husband, wife or partner"
3557372,38,"My husband, wife or partner"
3557299,41,"My husband, wife or partner"
3557347,40,"My husband, wife or partner"
3557372,39,"Child/children aged under 15"
3557346,41,"Other family / relative(s)"
3557372,40,"Child/children aged 15 or older"
3557301,41,"Child/children aged 15 or older"
3557301,42,"Other family / relative(s)"
3557373,46,"Child/children aged 15 or older"
3557373,47,"Other family / relative(s)"
3557301,40,"Child/children aged under 15"
3557341,40,"Child/children aged 15 or older"
3557341,41,"Other person(s)"
3557348,40,"Other family / relative(s)"
3557343,39,"Child/children aged 15 or older"
3557404,38,"Other person(s)"
3557301,39,"My husband, wife or partner"
3557336,48,"My husband, wife or partner"
3557373,45,"My husband, wife or partner"
3557308,40,"My husband, wife or partner"
3557341,39,"My husband, wife or partner"
3557390,39,"My husband, wife or partner"
3557350,46,"My husband, wife or partner"
3557359,39,"My husband, wife or partner"
3557352,41,"Other person(s)"
3557361,45,"Other person(s)"
3557406,39,"Other family / relative(s)"
3557407,40,"Child/children aged 15 or older"
3557379,53,"Child/children aged under 15"
3557384,46,"Other family / relative(s)"
3557421,42,"Child/children aged under 15"
3557365,38,"My husband, wife or partner"
3557366,39,"My husband, wife or partner"
3557379,52,"My husband, wife or partner"
3557375,45,"My husband, wife or partner"
3557377,38,"My husband, wife or partner"
3557421,41,"My husband, wife or partner"
3557391,45,"Child/children aged 15 or older"
3557382,40,"Child/children aged 15 or older"
3557437,55,"Other person(s)"
3557439,59,"Other person(s)"
3557438,40,"Child/children aged under 15"
3557308,41,"Child/children aged under 15"
3557380,40,"My husband, wife or partner"
3557424,42,"My husband, wife or partner"
3557381,52,"My husband, wife or partner"
3557382,39,"My husband, wife or partner"
3557395,40,"My husband, wife or partner"
3557400,39,"My husband, wife or partner"
3557310,38,"My husband, wife or partner"
3557310,39,"Child/children aged under 15"
3557454,42,"Child/children aged under 15"
3557440,45,"Child/children aged 15 or older"
3557317,38,"Other family / relative(s)"
3557414,49,"Child/children aged under 15"
3557412,46,"My husband, wife or partner"
3557454,41,"My husband, wife or partner"
3557457,38,"My husband, wife or partner"
3557414,48,"My husband, wife or partner"
3557324,48,"Child/children aged 15 or older"
3557429,42,"Other person(s)"
3557472,48,"Other family / relative(s)"
3557326,44,"Other family / relative(s)"
3557415,43,"Child/children aged under 15"
3557457,39,"Child/children aged under 15"
3557319,46,"My husband, wife or partner"
3557415,42,"My husband, wife or partner"
3557430,52,"My husband, wife or partner"
3557409,40,"My husband, wife or partner"
3557431,48,"My husband, wife or partner"
3557432,48,"My husband, wife or partner"
3557418,39,"My husband, wife or partner"
3557425,42,"My husband, wife or partner"
3557427,45,"My husband, wife or partner"
3557445,44,"My husband, wife or partner"
3557344,38,"My husband, wife or partner"
3557349,40,"Child/children aged under 15"
3557351,41,"Child/children aged under 15"
3557487,44,"My husband, wife or partner"
3557349,39,"My husband, wife or partner"
3557351,40,"My husband, wife or partner"
3557358,38,"My husband, wife or partner"
3557489,40,"My husband, wife or partner"
3557411,38,"Other person(s)"
3557333,38,"Other family / relative(s)"
3557427,46,"Other person(s)"
3557434,53,"Other family / relative(s)"
3557488,50,"Other family / relative(s)"
3557353,41,"Other person(s)"
3557441,39,"My husband, wife or partner"
3557490,41,"My husband, wife or partner"
3557443,43,"My husband, wife or partner"
3557504,36,"My husband, wife or partner"
3557358,39,"Child/children aged under 15"
3557441,40,"Child/children aged under 15"
3557504,37,"Child/children aged under 15"
3557505,42,"Child/children aged under 15"
3557367,44,"My husband, wife or partner"
3557489,41,"Child/children aged 15 or older"
3557441,41,"Child/children aged 15 or older"
3557360,43,"Other family / relative(s)"
3557504,38,"Child/children aged 15 or older"
3557450,46,"Other person(s)"
3557367,45,"Other family / relative(s)"
3557506,44,"My husband, wife or partner"
3557452,37,"My husband, wife or partner"
3557376,42,"My husband, wife or partner"
3557522,42,"My husband, wife or partner"
3557505,43,"Other family / relative(s)"
3557506,45,"Other family / relative(s)"
3557374,43,"Other family / relative(s)"
3557459,44,"Other person(s)"
3557376,43,"Other family / relative(s)"
3557521,47,"Other person(s)"
3557537,43,"My husband, wife or partner"
3557539,44,"My husband, wife or partner"
3557468,43,"My husband, wife or partner"
3557541,46,"My husband, wife or partner"
3557470,42,"My husband, wife or partner"
3557461,45,"Other person(s)"
3557378,45,"Other family / relative(s)"
3557524,44,"Other person(s)"
3557470,43,"Other family / relative(s)"
3557378,44,"Child/children aged under 15"
