"SurveyResponseID","AnswerNumber","iSiteUsage"
3557276,94,"Attractions / Activities"
3557284,100,"Attractions / Activities"
3557293,94,"Attractions / Activities"
3557336,102,"Attractions / Activities"
3557360,87,"General information about the region you were in"
3557360,88,"Check/confirm existing travel plans"
3557276,95,"Something else"
3557276,93,"Maps"
3557284,98,"Maps"
3557361,90,"General information about the region you were in"
3557293,90,"Maps"
3557336,99,"Maps"
3557336,100,"Internet access"
3557284,97,"Access to resources to assist you to plan"
3557360,90,"Maps"
3557361,91,"Maps"
3557336,101,"Directions"
3557336,103,"Suggested itineraries"
3557360,89,"Access to resources to assist you to plan"
3557361,92,"Directions"
3557361,93,"General information about a different region"
3557361,95,"Suggested itineraries"
3557360,91,"Compare prices / find deals"
3557418,75,"Maps"
3557434,116,"Internet access"
3557434,115,"General information about the region you were in"
3557434,117,"Compare prices / find deals"
3557360,94,"Attractions / Activities"
3557450,89,"General information about the region you were in"
3557284,99,"Transport/ travel options around New Zealand"
3557293,91,"See ratings by other travellers"
3557293,92,"Transport/ travel options around New Zealand"
3557461,98,"General information about the region you were in"
3557434,118,"Directions"
3557434,119,"Suggested itineraries"
3557383,90,"Compare prices / find deals"
3557360,92,"Directions"
3557450,90,"Directions"
3557383,91,"Directions"
3557466,94,"Directions"
3557461,99,"Maps"
3557383,89,"Maps"
3557293,93,"Event information"
3557361,94,"Accommodation in a different region"
3557360,93,"Event information"
3557450,91,"Information about amenities/services for the town you were in"
3557461,100,"Accommodation in the region you were in"
3557461,101,"Transport/ travel options around New Zealand"
3557383,96,"Suggested itineraries"
3557290,97,"Access to resources to assist you to plan"
3557383,95,"Attractions / Activities"
3557468,78,"Overview of NZ regions"
3557290,96,"General information about the region you were in"
3557385,107,"General information about the region you were in"
3557385,109,"Compare prices / find deals"
3557516,127,"General information about the region you were in"
3557516,129,"General information about a different region"
3557385,108,"Maps"
3557290,98,"Maps"
3557385,111,"Attractions / Activities"
3557516,131,"Attractions / Activities"
3557516,128,"Weather information"
3557466,95,"Information about amenities/services for the town you were in"
3557383,92,"Accommodation in the region you were in"
3557383,93,"Accommodation in a different region"
3557383,94,"Event information"
3557385,110,"Event information"
3557516,130,"Transport/ travel options around New Zealand"
3557290,99,"Information about amenities/services for the town you were in"
3557290,100,"Attractions / Activities"
3557543,133,"Compare prices / find deals"
3557543,136,"Attractions / Activities"
3557295,82,"General information about the region you were in"
3557295,83,"Check/confirm existing travel plans"
3557323,89,"Attractions / Activities"
3557392,87,"Maps"
3557323,88,"Maps"
3557295,84,"Weather information"
3557295,85,"Internet access"
3557392,88,"Event information"
3557394,78,"Suggested itineraries"
3557394,77,"Attractions / Activities"
3557545,99,"Compare prices / find deals"
3557543,134,"Accommodation in the region you were in"
3557543,135,"Transport/ travel options around New Zealand"
3557295,86,"Accommodation in the region you were in"
3557295,87,"Transport/ travel options around New Zealand"
3557394,76,"Event information"
3557545,100,"Transport/ travel options around New Zealand"
3557401,74,"Access to resources to assist you to plan"
3557401,76,"Directions"
3557401,77,"General information about a different region"
3557340,71,"Directions"
3557428,105,"Access to resources to assist you to plan"
3557545,98,"Maps"
3557401,75,"Maps"
3557313,117,"Maps"
3557428,106,"Maps"
3557371,125,"Weather information"
3557371,126,"Maps"
3557371,127,"Internet access"
3557575,94,"Internet access"
3557313,118,"Accommodation in the region you were in"
3557428,110,"Information about amenities/services for the town you were in"
3557428,111,"Event information"
3557428,107,"Information about Maori culture / cultural activities"
3557371,129,"Accommodation in the region you were in"
3557575,95,"Accommodation in the region you were in"
3557575,96,"Accommodation in a different region"
3557428,108,"Directions"
3557428,112,"Suggested itineraries"
3557371,124,"Access to resources to assist you to plan"
3557371,130,"Suggested itineraries"
3557577,145,"Access to resources to assist you to plan"
3557313,116,"General information about the region you were in"
3557428,104,"Check/confirm existing travel plans"
3557577,146,"Maps"
3557329,76,"Maps"
3557329,77,"Internet access"
3557428,109,"Overview of NZ regions"
3557577,147,"Directions"
3557577,148,"General information about a different region"
3557371,123,"General information about the region you were in"
3557371,128,"Overview of NZ regions"
3557575,93,"General information about the region you were in"
3557577,149,"Attractions / Activities"
3557331,98,"General information about the region you were in"
3557331,100,"Access to resources to assist you to plan"
3557503,93,"Access to resources to assist you to plan"
3557331,101,"Maps"
3557595,104,"Maps"
3557331,99,"Check/confirm existing travel plans"
3557503,92,"General information about the region you were in"
3557595,103,"General information about the region you were in"
3557331,103,"Attractions / Activities"
3557503,95,"Attractions / Activities"
3557595,107,"Attractions / Activities"
3557348,77,"Access to resources to assist you to plan"
3557577,150,"Something else"
3557331,102,"Information about amenities/services for the town you were in"
3557595,106,"Transport/ travel options around New Zealand"
3557424,81,"Something else"
3557348,78,"Information about amenities/services for the town you were in"
3557609,67,"Transport/ travel options around New Zealand"
3557379,108,"Event information"
3557503,94,"Maps"
3557595,105,"Internet access"
3557362,67,"Maps"
3557609,65,"Weather information"
3557609,66,"Maps"
3557526,75,"Maps"
3557535,86,"Event information"
3557379,107,"General information about a different region"
3557379,109,"Suggested itineraries"
3557535,85,"Directions"
3557472,90,"Directions"
3557526,76,"Attractions / Activities"
3557379,105,"General information about the region you were in"
3557472,88,"General information about the region you were in"
3557645,85,"General information about the region you were in"
3557472,91,"Attractions / Activities"
3557645,87,"Attractions / Activities"
3557379,106,"Maps"
3557535,84,"Maps"
3557380,91,"General information about a different region"
3557380,88,"General information about the region you were in"
3557487,93,"Access to resources to assist you to plan"
3557380,90,"Compare prices / find deals"
3557472,89,"Maps"
3557645,86,"Maps"
3557380,92,"Attractions / Activities"
3557380,89,"Maps"
3557487,94,"Weather information"
3557553,125,"Directions"
3557487,97,"Information about Maori culture / cultural activities"
3557487,95,"To meet other travellers"
3557553,124,"Internet access"
3557487,96,"Internet access"
3557553,127,"Accommodation in the region you were in"
3557553,123,"General information about the region you were in"
3557553,126,"Overview of NZ regions"
3557670,76,"General information about the region you were in"
3557487,98,"Compare prices / find deals"
3557487,99,"Overview of NZ regions"
3557396,129,"General information about the region you were in"
3557553,128,"Attractions / Activities"
